Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
12,5.354622196,-3.505749264,-0.709767474,-2.143944384,-0.710128337,-0.347226632,9.562783318,-3.373608518,-0.356034497,-0.351364184,-1.907707978,-0.586102714
12,-23.23038788,-2.809073372,-1.384844495,-12.19157288,-0.617099627,-3.982224402,-3.339081719,33.26601731,-0.706229021,-5.907403282,-4.733371363,2.858390203
12,-3.700636982,-1.631252646,-0.291718621,-0.993759146,-0.302767807,5.139668125,-0.347576036,-0.696354978,12.60958409,-0.566336941,1.458253897,3.142913371
12,-10.1126856,-5.746319755,1.427248653,-2.821394323,-1.105501844,0.706400923,-1.198394803,-6.118039294,-0.568513778,32.41790022,2.367923835,0.042430386
12,-19.18148177,-8.802579364,-1.357254058,-3.321286718,2.362892439,-3.080375587,-1.873645844,-5.280259676,1.416426153,4.369697143,51.55319527,7.696625836
12,-27.60800784,-30.38372679,4.84013507,-9.374782041,2.189880239,3.800145654,-0.104713616,2.591015112,3.594238242,7.194798835,8.104244813,30.69547698
13,89.60633975,-60.86003437,-15.76489147,-19.80663469,,-25.89655085,-12.37630377,-9.093935833,-7.509786039,-22.05611576,-1.429781665,-28.96561716
13,-59.57771375,103.6813391,-10.11784134,-14.88672893,,-7.375047526,-22.37264422,-1.272625535,-4.384681479,-15.21022979,-1.020588129,-25.90203017
13,-15.38774464,-10.93981269,35.73491722,-3.482044237,,2.546281723,-6.51802096,-3.308204498,9.490105059,13.72305405,-0.239080576,7.447204784
13,-19.43032433,-14.94283709,-3.509450839,125.8323236,,-1.33273192,-7.698283907,-4.538724031,-1.51454461,-4.711885194,-0.282795714,-3.568516682
13,,,,,,,,,,,,
13,-25.31704505,-7.982102886,4.744641487,-1.35452485,,33.86475782,-11.6033311,4.468607645,-1.410953001,9.253313384,-0.441474325,11.79148259
13,-11.49295028,-21.96726814,-6.477223162,-7.531146949,,-11.33210094,63.75197517,-6.464093704,-2.787243136,-10.61036608,-0.499012665,3.944348963
13,-9.412267371,-1.689088348,-3.013129346,-4.736450343,,5.526264758,-6.429454474,16.36640363,1.135487166,-3.931384427,-0.354106538,5.728016392
13,-7.2760324,-4.522464923,9.739283907,-1.457250964,,-1.394339479,-2.72573957,0.63799012,46.59612099,0.248434604,-0.100503782,4.379884119
13,-21.64907284,-14.96320696,12.11237322,-4.551100309,,6.878548527,-10.49450296,-4.190014877,0.248593984,48.13419112,-0.370096802,7.699575755
13,-1.400926539,-1.037183895,-0.231994698,-0.274783623,,-0.440670427,-0.494572469,-0.360553765,-0.100503782,-0.36800537,,0.179968508
13,-29.08895431,-27.37288701,10.01205,-3.301526776,,12.90193616,3.33289943,6.146540164,4.353980639,11.36100051,2.613205883,28.34790847
14,91.10807151,-60.34030175,-10.98443206,-28.32019673,-3.37232876,-8.351494506,-9.711739278,-11.48002144,-4.640344402,-9.018600127,-20.49069833,-31.52497499
14,-59.35775949,107.6150472,-4.377925214,-22.92172677,-3.548176487,-2.190592005,-14.26467249,-9.478090024,-1.556297253,-6.418422076,-14.36484341,-27.18518895
14,-11.02578078,-4.818592442,60.77463128,-3.468041323,-1.043581625,-1.621369178,-3.241247218,-3.523585523,28.70939536,2.236690505,-2.622582745,1.443528586
14,-28.57926093,-22.37060593,-3.532963365,123.7222219,-2.446809234,-3.12155865,-7.72671997,-8.896998062,-1.445429657,-0.11109445,-4.064930622,-10.86120486
14,-3.914604729,-3.418350177,-1.005248989,-2.43635478,6.121357826,-1.063706969,-2.133299867,-0.990996888,-0.404439109,-1.095775168,0.017058539,5.541518538
14,-8.199354636,-2.777042926,-1.61824067,-3.141344443,-1.063789073,15.7567762,-1.812169988,1.650934285,2.591776831,0.207567665,-3.061373397,6.070929454
14,-9.248838904,-13.89454854,-3.296132352,-7.724368767,-2.111051789,-1.772696398,61.27559375,-4.802092711,-1.277770629,-2.66831926,-6.328770696,1.583515817
14,-11.27517095,-8.753239902,-3.12208909,-8.538932473,-0.615716988,2.084518471,-4.596571701,35.04536786,-1.582357344,-2.288627132,-4.577021859,4.731196994
